threshold,f1,recall,precision
0.005,0.040036396724294813,1.0,0.02042711234911792
0.01,0.043052837573385516,1.0,0.022
0.015,0.04665959703075292,1.0,0.023887079261672096
0.02,0.046875,0.9545454545454546,0.02402745995423341
0.025,0.04833141542002301,0.9545454545454546,0.024793388429752067
0.030000000000000002,0.04946996466431095,0.9545454545454546,0.02539298669891173
0.034999999999999996,0.05078597339782346,0.9545454545454546,0.02608695652173913
0.04,0.05309734513274336,0.9545454545454546,0.027308192457737322
0.045,0.05201560468140442,0.9090909090909091,0.02677376171352075
0.049999999999999996,0.05412719891745602,0.9090909090909091,0.02789400278940028
0.055,0.05532503457814661,0.9090909090909091,0.028530670470756064
0.06,0.05706134094151213,0.9090909090909091,0.029455081001472753
0.065,0.05830903790087463,0.9090909090909091,0.030120481927710843
0.07,0.05663189269746647,0.8636363636363636,0.029275808936825885
0.07500000000000001,0.054628224582701064,0.8181818181818182,0.0282574568288854
0.08,0.056074766355140186,0.8181818181818182,0.02903225806451613
0.085,0.056338028169014086,0.8181818181818182,0.029173419773095625
0.09000000000000001,0.05732484076433121,0.8181818181818182,0.0297029702970297
0.095,0.07317073170731707,0.6818181818181818,0.03865979381443299
0.1,0.07556675062972293,0.6818181818181818,0.04
0.10500000000000001,0.07235142118863049,0.6363636363636364,0.038356164383561646
0.11,0.0748663101604278,0.6363636363636364,0.03977272727272727
0.115,0.0782122905027933,0.6363636363636364,0.041666666666666664
0.12000000000000001,0.08139534883720931,0.6363636363636364,0.043478260869565216
0.125,0.08383233532934131,0.6363636363636364,0.04487179487179487
0.13,0.08668730650154799,0.6363636363636364,0.046511627906976744
0.135,0.08333333333333333,0.5909090909090909,0.04482758620689655
0.14,0.08695652173913043,0.5909090909090909,0.04693140794223827
0.14500000000000002,0.0912280701754386,0.5909090909090909,0.049429657794676805
0.15,0.0959409594095941,0.5909090909090909,0.05220883534136546
0.155,0.09961685823754789,0.5909090909090909,0.05439330543933055
0.16,0.10358565737051793,0.5909090909090909,0.056768558951965066
0.165,0.1092436974789916,0.5909090909090909,0.06018518518518518
0.17,0.11304347826086956,0.5909090909090909,0.0625
0.17500000000000002,0.11981566820276497,0.5909090909090909,0.06666666666666667
0.18000000000000002,0.1262135922330097,0.5909090909090909,0.07065217391304347
0.185,0.1218274111675127,0.5454545454545454,0.06857142857142857
0.19,0.13114754098360656,0.5454545454545454,0.07453416149068323
0.195,0.14285714285714285,0.5454545454545454,0.0821917808219178
0.2,0.14012738853503184,0.5,0.08148148148148149
0.20500000000000002,0.14864864864864866,0.5,0.0873015873015873
0.21000000000000002,0.15827338129496402,0.5,0.09401709401709402
0.215,0.16176470588235295,0.5,0.09649122807017543
0.22,0.1732283464566929,0.5,0.10476190476190476
0.225,0.1746031746031746,0.5,0.10576923076923077
0.23,0.16666666666666666,0.45454545454545453,0.10204081632653061
0.23500000000000001,0.17094017094017094,0.45454545454545453,0.10526315789473684
0.24000000000000002,0.17391304347826086,0.45454545454545453,0.10752688172043011
0.245,0.18181818181818182,0.45454545454545453,0.11363636363636363
0.25,0.18867924528301888,0.45454545454545453,0.11904761904761904
0.255,0.19230769230769232,0.45454545454545453,0.12195121951219512
0.26,0.19801980198019803,0.45454545454545453,0.12658227848101267
0.265,0.18181818181818182,0.4090909090909091,0.11688311688311688
0.27,0.1875,0.4090909090909091,0.12162162162162163
0.275,0.1978021978021978,0.4090909090909091,0.13043478260869565
0.28,0.2,0.4090909090909091,0.1323529411764706
0.28500000000000003,0.20224719101123595,0.4090909090909091,0.13432835820895522
0.29000000000000004,0.21176470588235294,0.4090909090909091,0.14285714285714285
0.295,0.21951219512195122,0.4090909090909091,0.15
0.3,0.23684210526315788,0.4090909090909091,0.16666666666666666
0.305,0.24324324324324326,0.4090909090909091,0.17307692307692307
0.31,0.2608695652173913,0.4090909090909091,0.19148936170212766
0.315,0.25,0.36363636363636365,0.19047619047619047
0.32,0.25396825396825395,0.36363636363636365,0.1951219512195122
0.325,0.25396825396825395,0.36363636363636365,0.1951219512195122
0.33,0.25806451612903225,0.36363636363636365,0.2
0.335,0.26666666666666666,0.36363636363636365,0.21052631578947367
0.34,0.26666666666666666,0.36363636363636365,0.21052631578947367
0.34500000000000003,0.27586206896551724,0.36363636363636365,0.2222222222222222
0.35000000000000003,0.2962962962962963,0.36363636363636365,0.25
0.35500000000000004,0.2962962962962963,0.36363636363636365,0.25
0.36,0.3018867924528302,0.36363636363636365,0.25806451612903225
0.365,0.3333333333333333,0.36363636363636365,0.3076923076923077
0.37,0.3333333333333333,0.36363636363636365,0.3076923076923077
0.375,0.3404255319148936,0.36363636363636365,0.32
0.38,0.3111111111111111,0.3181818181818182,0.30434782608695654
0.385,0.27906976744186046,0.2727272727272727,0.2857142857142857
0.39,0.27906976744186046,0.2727272727272727,0.2857142857142857
0.395,0.27906976744186046,0.2727272727272727,0.2857142857142857
0.4,0.2857142857142857,0.2727272727272727,0.3
0.405,0.2857142857142857,0.2727272727272727,0.3
0.41000000000000003,0.2857142857142857,0.2727272727272727,0.3
0.41500000000000004,0.24390243902439024,0.22727272727272727,0.2631578947368421
0.42000000000000004,0.2564102564102564,0.22727272727272727,0.29411764705882354
0.425,0.2222222222222222,0.18181818181818182,0.2857142857142857
0.43,0.2222222222222222,0.18181818181818182,0.2857142857142857
0.435,0.23529411764705882,0.18181818181818182,0.3333333333333333
0.44,0.23529411764705882,0.18181818181818182,0.3333333333333333
0.445,0.23529411764705882,0.18181818181818182,0.3333333333333333
0.45,0.2,0.13636363636363635,0.375
0.455,0.13793103448275862,0.09090909090909091,0.2857142857142857
0.46,0.13793103448275862,0.09090909090909091,0.2857142857142857
0.465,0.13793103448275862,0.09090909090909091,0.2857142857142857
0.47000000000000003,0.13793103448275862,0.09090909090909091,0.2857142857142857
0.47500000000000003,0.07142857142857142,0.045454545454545456,0.16666666666666666
0.48000000000000004,0.07142857142857142,0.045454545454545456,0.16666666666666666
0.485,0.07142857142857142,0.045454545454545456,0.16666666666666666
0.49,0.07142857142857142,0.045454545454545456,0.16666666666666666
0.495,0.07142857142857142,0.045454545454545456,0.16666666666666666
0.5,0.07142857142857142,0.045454545454545456,0.16666666666666666
0.505,0.07142857142857142,0.045454545454545456,0.16666666666666666
0.51,0.07407407407407407,0.045454545454545456,0.2
0.515,0.07407407407407407,0.045454545454545456,0.2
0.52,0.0,0.0,0.0
0.525,0.0,0.0,0.0
0.53,0.0,0.0,0.0
0.535,0.0,0.0,0.0
0.54,0.0,0.0,0.0
0.545,0.0,0.0,0.0
0.55,0.0,0.0,0.0
0.555,0.0,0.0,0.0
0.56,0.0,0.0,0.0
0.5650000000000001,0.0,0.0,0.0
0.5700000000000001,0.0,0.0,0.0
0.5750000000000001,0.0,0.0,0.0
0.5800000000000001,0.0,0.0,0.0
0.585,0.0,0.0,0.0
0.59,0.0,0.0,0.0
0.595,0.0,0.0,0.0
0.6,0.0,0.0,0.0
0.605,0.0,0.0,0.0
0.61,0.0,0.0,0.0
0.615,0.0,0.0,0.0
0.62,0.0,0.0,0.0
0.625,0.0,0.0,0.0
0.63,0.0,0.0,0.0
0.635,0.0,0.0,0.0
0.64,0.0,0.0,0.0
0.645,0.0,0.0,0.0
0.65,0.0,0.0,0.0
0.655,0.0,0.0,0.0
0.66,0.0,0.0,0.0
0.665,0.0,0.0,0.0
0.67,0.0,0.0,0.0
0.675,0.0,0.0,0.0
0.68,0.0,0.0,0.0
0.685,0.0,0.0,0.0
0.6900000000000001,0.0,0.0,0.0
0.6950000000000001,0.0,0.0,0.0
0.7000000000000001,0.0,0.0,0.0
0.7050000000000001,0.0,0.0,0.0
0.71,0.0,0.0,0.0
0.715,0.0,0.0,0.0
0.72,0.0,0.0,0.0
0.725,0.0,0.0,0.0
0.73,0.0,0.0,0.0
0.735,0.0,0.0,0.0
0.74,0.0,0.0,0.0
0.745,0.0,0.0,0.0
0.75,0.0,0.0,0.0
0.755,0.0,0.0,0.0
0.76,0.0,0.0,0.0
0.765,0.0,0.0,0.0
0.77,0.0,0.0,0.0
0.775,0.0,0.0,0.0
0.78,0.0,0.0,0.0
0.785,0.0,0.0,0.0
0.79,0.0,0.0,0.0
0.795,0.0,0.0,0.0
0.8,0.0,0.0,0.0
0.805,0.0,0.0,0.0
0.81,0.0,0.0,0.0
0.8150000000000001,0.0,0.0,0.0
0.8200000000000001,0.0,0.0,0.0
0.8250000000000001,0.0,0.0,0.0
0.8300000000000001,0.0,0.0,0.0
0.8350000000000001,0.0,0.0,0.0
0.84,0.0,0.0,0.0
0.845,0.0,0.0,0.0
0.85,0.0,0.0,0.0
0.855,0.0,0.0,0.0
0.86,0.0,0.0,0.0
0.865,0.0,0.0,0.0
0.87,0.0,0.0,0.0
0.875,0.0,0.0,0.0
0.88,0.0,0.0,0.0
0.885,0.0,0.0,0.0
0.89,0.0,0.0,0.0
0.895,0.0,0.0,0.0
0.9,0.0,0.0,0.0
0.905,0.0,0.0,0.0
0.91,0.0,0.0,0.0
0.915,0.0,0.0,0.0
0.92,0.0,0.0,0.0
0.925,0.0,0.0,0.0
0.93,0.0,0.0,0.0
0.935,0.0,0.0,0.0
0.9400000000000001,0.0,0.0,0.0
0.9450000000000001,0.0,0.0,0.0
0.9500000000000001,0.0,0.0,0.0
0.9550000000000001,0.0,0.0,0.0
0.9600000000000001,0.0,0.0,0.0
0.965,0.0,0.0,0.0
0.97,0.0,0.0,0.0
0.975,0.0,0.0,0.0
0.98,0.0,0.0,0.0
0.985,0.0,0.0,0.0
0.99,0.0,0.0,0.0
0.995,0.0,0.0,0.0
